"('class', 'dependency', 'class')"
"('class', 'dependency', 'interface')"
"('class', 'dependency', 'property')"
"('class', 'dependency', 'package')"
"('class', 'dependency', 'function')"
"('interface', 'dependency', 'class')"
"('interface', 'dependency', 'interface')"
"('interface', 'dependency', 'property')"
"('interface', 'dependency', 'package')"
"('interface', 'dependency', 'function')"
"('property', 'dependency', 'class')"
"('property', 'dependency', 'interface')"
"('property', 'dependency', 'property')"
"('property', 'dependency', 'package')"
"('property', 'dependency', 'function')"
"('package', 'dependency', 'class')"
"('package', 'dependency', 'interface')"
"('package', 'dependency', 'property')"
"('package', 'dependency', 'package')"
"('package', 'dependency', 'function')"
"('function', 'dependency', 'class')"
"('function', 'dependency', 'interface')"
"('function', 'dependency', 'property')"
"('function', 'dependency', 'package')"
"('function', 'dependency', 'function')"
"('class', 'conversion', 'class')"
"('class', 'conversion', 'interface')"
"('class', 'conversion', 'property')"
"('class', 'conversion', 'package')"
"('class', 'conversion', 'function')"
"('interface', 'conversion', 'class')"
"('interface', 'conversion', 'interface')"
"('interface', 'conversion', 'property')"
"('interface', 'conversion', 'package')"
"('interface', 'conversion', 'function')"
"('property', 'conversion', 'class')"
"('property', 'conversion', 'interface')"
"('property', 'conversion', 'property')"
"('property', 'conversion', 'package')"
"('property', 'conversion', 'function')"
"('package', 'conversion', 'class')"
"('package', 'conversion', 'interface')"
"('package', 'conversion', 'property')"
"('package', 'conversion', 'package')"
"('package', 'conversion', 'function')"
"('function', 'conversion', 'class')"
"('function', 'conversion', 'interface')"
"('function', 'conversion', 'property')"
"('function', 'conversion', 'package')"
"('function', 'conversion', 'function')"
"('class', 'preference', 'class')"
"('class', 'preference', 'interface')"
"('class', 'preference', 'property')"
"('class', 'preference', 'package')"
"('class', 'preference', 'function')"
"('interface', 'preference', 'class')"
"('interface', 'preference', 'interface')"
"('interface', 'preference', 'property')"
"('interface', 'preference', 'package')"
"('interface', 'preference', 'function')"
"('property', 'preference', 'class')"
"('property', 'preference', 'interface')"
"('property', 'preference', 'property')"
"('property', 'preference', 'package')"
"('property', 'preference', 'function')"
"('package', 'preference', 'class')"
"('package', 'preference', 'interface')"
"('package', 'preference', 'property')"
"('package', 'preference', 'package')"
"('package', 'preference', 'function')"
"('function', 'preference', 'class')"
"('function', 'preference', 'interface')"
"('function', 'preference', 'property')"
"('function', 'preference', 'package')"
"('function', 'preference', 'function')"
"('class', 'collaboration', 'class')"
"('class', 'collaboration', 'interface')"
"('class', 'collaboration', 'property')"
"('class', 'collaboration', 'package')"
"('class', 'collaboration', 'function')"
"('interface', 'collaboration', 'class')"
"('interface', 'collaboration', 'interface')"
"('interface', 'collaboration', 'property')"
"('interface', 'collaboration', 'package')"
"('interface', 'collaboration', 'function')"
"('property', 'collaboration', 'class')"
"('property', 'collaboration', 'interface')"
"('property', 'collaboration', 'property')"
"('property', 'collaboration', 'package')"
"('property', 'collaboration', 'function')"
"('package', 'collaboration', 'class')"
"('package', 'collaboration', 'interface')"
"('package', 'collaboration', 'property')"
"('package', 'collaboration', 'package')"
"('package', 'collaboration', 'function')"
"('function', 'collaboration', 'class')"
"('function', 'collaboration', 'interface')"
"('function', 'collaboration', 'property')"
"('function', 'collaboration', 'package')"
"('function', 'collaboration', 'function')"
"('class', 'implementation', 'class')"
"('class', 'implementation', 'interface')"
"('class', 'implementation', 'property')"
"('class', 'implementation', 'package')"
"('class', 'implementation', 'function')"
"('interface', 'implementation', 'class')"
"('interface', 'implementation', 'interface')"
"('interface', 'implementation', 'property')"
"('interface', 'implementation', 'package')"
"('interface', 'implementation', 'function')"
"('property', 'implementation', 'class')"
"('property', 'implementation', 'interface')"
"('property', 'implementation', 'property')"
"('property', 'implementation', 'package')"
"('property', 'implementation', 'function')"
"('package', 'implementation', 'class')"
"('package', 'implementation', 'interface')"
"('package', 'implementation', 'property')"
"('package', 'implementation', 'package')"
"('package', 'implementation', 'function')"
"('function', 'implementation', 'class')"
"('function', 'implementation', 'interface')"
"('function', 'implementation', 'property')"
"('function', 'implementation', 'package')"
"('function', 'implementation', 'function')"
"('class', 'containment', 'class')"
"('class', 'containment', 'interface')"
"('class', 'containment', 'property')"
"('class', 'containment', 'package')"
"('class', 'containment', 'function')"
"('interface', 'containment', 'class')"
"('interface', 'containment', 'interface')"
"('interface', 'containment', 'property')"
"('interface', 'containment', 'package')"
"('interface', 'containment', 'function')"
"('property', 'containment', 'class')"
"('property', 'containment', 'interface')"
"('property', 'containment', 'property')"
"('property', 'containment', 'package')"
"('property', 'containment', 'function')"
"('package', 'containment', 'class')"
"('package', 'containment', 'interface')"
"('package', 'containment', 'property')"
"('package', 'containment', 'package')"
"('package', 'containment', 'function')"
"('function', 'containment', 'class')"
"('function', 'containment', 'interface')"
"('function', 'containment', 'property')"
"('function', 'containment', 'package')"
"('function', 'containment', 'function')"
"('class', 'limitation', 'class')"
"('class', 'limitation', 'interface')"
"('class', 'limitation', 'property')"
"('class', 'limitation', 'package')"
"('class', 'limitation', 'function')"
"('interface', 'limitation', 'class')"
"('interface', 'limitation', 'interface')"
"('interface', 'limitation', 'property')"
"('interface', 'limitation', 'package')"
"('interface', 'limitation', 'function')"
"('property', 'limitation', 'class')"
"('property', 'limitation', 'interface')"
"('property', 'limitation', 'property')"
"('property', 'limitation', 'package')"
"('property', 'limitation', 'function')"
"('package', 'limitation', 'class')"
"('package', 'limitation', 'interface')"
"('package', 'limitation', 'property')"
"('package', 'limitation', 'package')"
"('package', 'limitation', 'function')"
"('function', 'limitation', 'class')"
"('function', 'limitation', 'interface')"
"('function', 'limitation', 'property')"
"('function', 'limitation', 'package')"
"('function', 'limitation', 'function')"
"('class', 'difference', 'class')"
"('class', 'difference', 'interface')"
"('class', 'difference', 'property')"
"('class', 'difference', 'package')"
"('class', 'difference', 'function')"
"('interface', 'difference', 'class')"
"('interface', 'difference', 'interface')"
"('interface', 'difference', 'property')"
"('interface', 'difference', 'package')"
"('interface', 'difference', 'function')"
"('property', 'difference', 'class')"
"('property', 'difference', 'interface')"
"('property', 'difference', 'property')"
"('property', 'difference', 'package')"
"('property', 'difference', 'function')"
"('package', 'difference', 'class')"
"('package', 'difference', 'interface')"
"('package', 'difference', 'property')"
"('package', 'difference', 'package')"
"('package', 'difference', 'function')"
"('function', 'difference', 'class')"
"('function', 'difference', 'interface')"
"('function', 'difference', 'property')"
"('function', 'difference', 'package')"
"('function', 'difference', 'function')"
"('class', 'replacement', 'class')"
"('class', 'replacement', 'interface')"
"('class', 'replacement', 'property')"
"('class', 'replacement', 'package')"
"('class', 'replacement', 'function')"
"('interface', 'replacement', 'class')"
"('interface', 'replacement', 'interface')"
"('interface', 'replacement', 'property')"
"('interface', 'replacement', 'package')"
"('interface', 'replacement', 'function')"
"('property', 'replacement', 'class')"
"('property', 'replacement', 'interface')"
"('property', 'replacement', 'property')"
"('property', 'replacement', 'package')"
"('property', 'replacement', 'function')"
"('package', 'replacement', 'class')"
"('package', 'replacement', 'interface')"
"('package', 'replacement', 'property')"
"('package', 'replacement', 'package')"
"('package', 'replacement', 'function')"
"('function', 'replacement', 'class')"
"('function', 'replacement', 'interface')"
"('function', 'replacement', 'property')"
"('function', 'replacement', 'package')"
"('function', 'replacement', 'function')"
"('class', 'modification', 'class')"
"('class', 'modification', 'interface')"
"('class', 'modification', 'property')"
"('class', 'modification', 'package')"
"('class', 'modification', 'function')"
"('interface', 'modification', 'class')"
"('interface', 'modification', 'interface')"
"('interface', 'modification', 'property')"
"('interface', 'modification', 'package')"
"('interface', 'modification', 'function')"
"('property', 'modification', 'class')"
"('property', 'modification', 'interface')"
"('property', 'modification', 'property')"
"('property', 'modification', 'package')"
"('property', 'modification', 'function')"
"('package', 'modification', 'class')"
"('package', 'modification', 'interface')"
"('package', 'modification', 'property')"
"('package', 'modification', 'package')"
"('package', 'modification', 'function')"
"('function', 'modification', 'class')"
"('function', 'modification', 'interface')"
"('function', 'modification', 'property')"
"('function', 'modification', 'package')"
"('function', 'modification', 'function')"
"('class', 'equivalence', 'class')"
"('class', 'equivalence', 'interface')"
"('class', 'equivalence', 'property')"
"('class', 'equivalence', 'package')"
"('class', 'equivalence', 'function')"
"('interface', 'equivalence', 'class')"
"('interface', 'equivalence', 'interface')"
"('interface', 'equivalence', 'property')"
"('interface', 'equivalence', 'package')"
"('interface', 'equivalence', 'function')"
"('property', 'equivalence', 'class')"
"('property', 'equivalence', 'interface')"
"('property', 'equivalence', 'property')"
"('property', 'equivalence', 'package')"
"('property', 'equivalence', 'function')"
"('package', 'equivalence', 'class')"
"('package', 'equivalence', 'interface')"
"('package', 'equivalence', 'property')"
"('package', 'equivalence', 'package')"
"('package', 'equivalence', 'function')"
"('function', 'equivalence', 'class')"
"('function', 'equivalence', 'interface')"
"('function', 'equivalence', 'property')"
"('function', 'equivalence', 'package')"
"('function', 'equivalence', 'function')"
"('class', 'extension', 'class')"
"('class', 'extension', 'interface')"
"('class', 'extension', 'property')"
"('class', 'extension', 'package')"
"('class', 'extension', 'function')"
"('interface', 'extension', 'class')"
"('interface', 'extension', 'interface')"
"('interface', 'extension', 'property')"
"('interface', 'extension', 'package')"
"('interface', 'extension', 'function')"
"('property', 'extension', 'class')"
"('property', 'extension', 'interface')"
"('property', 'extension', 'property')"
"('property', 'extension', 'package')"
"('property', 'extension', 'function')"
"('package', 'extension', 'class')"
"('package', 'extension', 'interface')"
"('package', 'extension', 'property')"
"('package', 'extension', 'package')"
"('package', 'extension', 'function')"
"('function', 'extension', 'class')"
"('function', 'extension', 'interface')"
"('function', 'extension', 'property')"
"('function', 'extension', 'package')"
"('function', 'extension', 'function')"
"('class', 'delegation', 'class')"
"('class', 'delegation', 'interface')"
"('class', 'delegation', 'property')"
"('class', 'delegation', 'package')"
"('class', 'delegation', 'function')"
"('interface', 'delegation', 'class')"
"('interface', 'delegation', 'interface')"
"('interface', 'delegation', 'property')"
"('interface', 'delegation', 'package')"
"('interface', 'delegation', 'function')"
"('property', 'delegation', 'class')"
"('property', 'delegation', 'interface')"
"('property', 'delegation', 'property')"
"('property', 'delegation', 'package')"
"('property', 'delegation', 'function')"
"('package', 'delegation', 'class')"
"('package', 'delegation', 'interface')"
"('package', 'delegation', 'property')"
"('package', 'delegation', 'package')"
"('package', 'delegation', 'function')"
"('function', 'delegation', 'class')"
"('function', 'delegation', 'interface')"
"('function', 'delegation', 'property')"
"('function', 'delegation', 'package')"
"('function', 'delegation', 'function')"
